Date,Time,Run Time,Defrost case 1,Always off,Ambient Dry Bulb Ta,Ambient Dry Bulb Tb,Ambient Wet Bulb,Rear Wall,Ceiling,Front Wall,Left Wall,Right Wall,Primary Disch Air 2in LE,Primary Disch Air 12in LE,Primary Disch Air 24in LE,Primary Disch Air 36in LE,Primary Disch Air CTR,Primary Disch Air 36in RE,Primary Disch Air 24in RE,Primary Disch Air 12in RE,Primary Disch Air 2in RE,Secondary Disch Air 2in LE,Secondary Disch Air 12in LE,Secondary  Disch Air 24in LE,Secondary Disch Air 36in LE,Secondary  Disch Air CTR,Secondary  Disch Air 36in RE,Secondary  Disch Air 24in RE,Secondary  Disch Air 12in RE,Secondary  Disch Air 2in RE,Return Air 2in LE,Return Air 12in LE,Return Air 24in LE,Return Air 36in LE,Return Air CTR,Return Air 36in RE,Return Air 24in RE,Return Air 12in RE,Return Air 2in RE,Air In L Coil 6in RE,Air In L Coil 6in LE,Air off L Coil 6in RE,Air off L Coil 6in LE,Air in R Coil 6in RE,Air in R Coil 6in LE,Air off R Coil 6in RE,Air off R Coil 6in LE, L Coil Inlet ,L Coil Outlet, R Coil Inlet ,R Coil Outlet,PS Top shelf LE Rear ,PS Top shelf LE Front,PS Top shelf CTR Rear,PS Top shelf CTR Front,PS Top shelf RE Rear ,PS Top shelf RE Front,PS 2nd shelf LE Rear ,PS 2nd shelf LE Front,PS 2nd shelf CTR Rear ,PS 2nd shelf CTR Front,PS 2nd shelf RE Rear ,PS 2nd shelf RE Front,PS 3rd shelf LE Rear ,PS 3rd shelf LE Front,PS 3rd shelf CTR Rear,PS 3rd shelf CTR Front,PS 3rd shelf RE Rear ,PS 3rd shelf RE Front,PS 4th shelf LE Rear ,PS 4th shelf LE Front,PS 4th shelf CTR Rear ,PS 4th shelf CTR Front,PS 4th shelf RE Rear ,PS 4th shelf RE Front,PS BC LE Rear ,PS BC LE Front,PS BC CTR Rear,PS BC CTR Front,PS BC RE Rear ,PS BC RE Front,L TXV Inlet,L TXV Bulb Temp,R TXV Inlet,R TXV Bulb Temp,Into TXV Split,Out of TXV Split L,Out of TXV Split R,L Defrost Term Sensor ,R Defrost Term Sensor ,L DA Sensor ,R DA Sensor ,Water in HE,Water out HE,Discharge Out of Comp,Suction into Comp,Into condeser,Out of condenser,Air Velocities FPM,Suction Presure,Liquid Pressure,Compressor RPM,Case Volts,Case Amps,Case Watts,Left S.H.,Right S.H.,Evap,Coil Outlet Evap,Liqcond,Total Case Watts,AVG Prod Temp,subcooling LH,Subcooling RH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/30/25,00:01:55,0,1,0,74.579201,73.29603,63.534715,74.465431,73.460578,74.024897,73.631053,73.356428,32.034109,28.617701,28.493212,28.712042,38.896997,27.864125,27.934578,28.295652,37.194816,39.845835,41.077646,40.732755,42.089364,38.835218,37.940581,29.03049,37.949682,40.405329,51.4663,45.331075,50.613061,46.930909,51.955027,49.164328,49.08514,45.607017,47.670793,41.919026,40.458642,24.444677,24.710816,41.027311,40.301069,24.569206,24.753124,25.089443,48.063364,25.742811,39.104906,31.905258,37.399606,28.339339,37.002515,29.939629,37.154093,30.614528,36.94612,27.647265,37.845396,30.490141,36.927612,29.415208,36.82948,27.151758,37.469819,28.518649,37.47763,28.449338,32.994279,26.581795,33.636099,27.474208,35.450772,30.907488,38.937635,29.438268,40.852979,31.019753,40.109876,80.032529,30.180689,75.376133,28.542091,68.808099,75.671178,77.17733,27.374232,25.798818,29.297818,39.913099,83.641863,89.009183,121.990445,36.62524,115.400374,87.034381,14.408056,41.601742,155.850169,3579.048369,207.610001,4.362,1099.900024,9.982857,8.344259,20.197832,-44.548571,92.243959,1.49194E+37,33.164218,12.21143,16.867826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/30/25,00:02:55,0,1,0,74.701873,73.367257,63.072702,74.444713,73.491039,74.036308,73.641839,73.391763,32.03867,28.619597,28.514741,28.745884,38.89605,27.870756,27.975394,28.331549,37.268328,39.915578,41.015703,40.616895,42.000512,38.816619,38.081252,29.007044,38.119814,40.530906,50.183649,44.515181,48.714387,47.795773,52.069482,50.237893,50.204397,45.178643,45.94888,41.649862,40.258594,24.402077,24.699149,41.5064,40.737913,24.630957,24.790256,27.345201,47.213574,24.904351,39.180047,31.861307,37.466794,28.463388,37.031258,29.925032,37.103351,30.550462,36.925037,27.629111,37.96953,30.548963,36.934234,29.436155,36.779117,27.147811,37.445578,28.534339,37.494679,28.468779,32.997644,26.558466,33.611129,27.399096,35.462398,30.922299,38.953736,29.409945,40.851874,30.953703,40.09568,78.835656,30.883122,74.621703,27.550093,68.146819,74.581325,76.075602,28.003624,25.084546,29.439177,40.039112,83.486282,87.998274,121.604912,36.489811,114.784021,86.084201,11.306925,42.76107,152.701834,3683.022704,207.220001,4.328,1094,9.536373,6.203344,21.346749,-44.548571,90.851465,1.49194E+37,33.164363,12.015809,16.229762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/30/25,00:03:55,0,1,0,74.50721,73.183294,63.482328,74.46897,73.522093,74.020402,73.608997,73.369492,32.084926,28.632507,28.520513,28.701936,38.920538,27.915615,27.987661,28.367018,37.235137,39.861782,41.034598,40.636487,42.033697,38.855672,38.019622,29.053204,38.058223,40.535557,50.554999,44.650819,50.580723,47.98431,52.944731,47.647391,49.144328,45.040479,46.738694,41.678907,40.274034,24.454914,24.671337,41.204111,40.521173,24.570434,24.719451,26.978359,46.692634,27.178899,38.836763,31.907605,37.394188,28.345027,36.986921,29.936003,37.108927,30.582378,36.910409,27.709442,37.876345,30.514232,36.916574,29.412554,36.790806,27.131027,37.452395,28.546127,37.492047,28.37643,32.982106,26.514143,33.675002,27.420888,35.469417,30.906183,38.941136,29.388736,40.854271,30.977918,40.127993,77.100275,30.496449,72.78077,28.280122,67.206665,72.994399,74.357003,27.637722,27.483685,29.368894,40.033122,82.119797,86.144505,120.761333,36.345693,114.45362,84.244108,9.723975,40.445962,148.357649,3374.785232,207.649994,4.27,1071.699951,11.461881,9.245554,19.034568,-44.548571,88.898181,1.49194E+37,33.154908,11.797906,16.117411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/30/25,00:04:55,0,1,0,74.867879,73.480631,63.206746,74.439046,73.502715,74.014992,73.604451,73.342514,32.12142,28.67311,28.507575,28.745944,38.948177,27.889118,27.985252,28.331587,37.402706,39.921721,41.110732,40.764449,42.111335,38.825064,37.910771,29.037415,37.97144,40.394428,52.319713,44.750945,50.252079,46.354964,52.926757,46.650463,49.283457,44.963989,47.31941,41.966928,40.396969,24.586088,24.87125,40.9008,40.153775,24.72746,24.888984,27.461119,46.511243,27.115475,38.697269,31.870153,37.426858,28.414597,37.04128,29.920394,37.109806,30.585493,36.901087,27.480814,37.88068,30.530194,36.950109,29.432092,36.833711,27.144864,37.437356,28.509976,37.488192,28.454199,32.965337,26.532674,33.57394,27.377339,35.434101,30.879137,38.940799,29.410248,40.848212,30.945061,40.084933,75.959837,30.538527,71.936897,27.847281,67.108707,72.141766,73.413924,27.672219,27.750346,29.438201,39.831904,81.213905,85.007793,120.351068,36.322068,114.134522,83.511334,15.975461,39.850802,146.615795,3524.119872,207.240005,4.197,1055.099976,12.110149,9.418903,18.428378,-44.548571,88.104266,1.49194E+37,33.146788,12.144429,16.167369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/30/25,00:05:55,0,1,0,74.80491,73.457337,63.279115,74.412349,73.48953,73.993356,73.619991,73.3424,32.188402,28.707251,28.598386,28.803559,38.949563,27.894091,28.005457,28.322334,37.447586,39.891984,41.082799,40.774196,42.076235,38.82998,37.986433,29.005416,38.006944,40.41441,50.138163,44.492165,49.65822,47.170249,52.626878,48.227856,49.694281,44.353366,47.509469,41.838944,40.416293,24.648683,24.966163,41.15392,40.415094,24.765597,25.007195,27.369063,46.066934,26.422962,38.767697,31.84279,37.450389,28.375877,37.055977,29.935036,37.157055,30.567594,36.939383,27.434186,37.87888,30.482022,36.959807,29.421355,36.856202,27.117995,37.451431,28.490717,37.478897,28.44794,32.991553,26.508835,33.580002,27.374502,35.447761,30.877276,38.952606,29.377585,40.867474,30.937121,40.055492,74.297165,30.530014,70.874247,27.922167,66.671044,71.03815,72.114233,27.821408,26.747849,29.46313,39.888715,80.342601,83.705973,120.059743,36.403649,114.121192,82.62967,18.177602,40.11739,140.964126,3759.590167,207.289993,4.133,1032.099976,11.829494,9.221647,18.70052,-44.548571,85.484226,1.49194E+37,33.143791,11.187061,14.609979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/30/25,00:06:55,0,1,0,74.515886,73.149229,63.270992,74.494447,73.568331,74.034052,73.594606,73.374564,32.229568,28.711942,28.592369,28.827737,39.030832,27.905785,28.014276,28.379793,37.464169,39.955671,41.134511,40.791451,42.133897,38.788583,38.003113,29.02449,37.9518,40.403476,51.789833,45.021867,51.204359,46.238573,52.373079,48.072168,50.42881,45.055945,47.659075,42.021068,40.560869,24.666713,24.936929,40.959693,40.143728,24.798692,24.907415,25.791818,43.111944,25.602693,38.420439,31.889265,37.428713,28.401297,36.994041,29.903789,37.094663,30.549283,36.930239,27.808918,37.975581,30.547936,36.930561,29.407032,36.763475,27.096738,37.474597,28.544443,37.47119,28.411601,32.944238,26.514062,33.646051,27.467691,35.454962,30.946461,38.934088,29.402573,40.821267,30.981202,40.103042,69.912456,30.274585,68.866267,27.512351,65.846066,67.992427,68.506418,27.535197,26.617357,29.455977,39.873272,77.453969,80.182302,119.54253,36.267822,114.355333,80.424903,25.772393,42.193891,127.686629,3679.443254,207.470001,3.875,951.099976,9.48772,6.725486,20.786865,-44.548571,79.042238,1.49194E+37,33.1613,9.129782,10.175971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/30/25,00:07:55,0,1,0,74.746797,73.358081,63.622321,74.438118,73.518712,74.027596,73.651451,73.359481,32.189758,28.670241,28.550218,28.861379,39.081748,27.835438,27.979169,28.296052,37.545295,39.906988,41.123304,40.722073,42.166599,38.858049,38.020495,28.961748,38.001567,40.453972,50.527484,43.096055,49.80283,46.649072,51.836054,50.769633,49.62195,44.254697,48.041011,41.774777,40.412794,24.686745,24.914608,41.226416,40.417838,24.782256,24.942877,27.215445,44.160856,25.040549,38.721952,31.881256,37.361632,28.330015,37.00035,29.922107,37.149538,30.610383,36.921844,27.545076,37.83055,30.519737,36.948136,29.418954,36.825251,27.094341,37.449238,28.503228,37.481551,28.431431,32.987998,26.545616,33.595246,27.386701,35.392378,30.862584,38.937623,29.397226,40.854287,30.997407,40.096153,72.272854,29.923511,71.432427,27.415016,67.173854,70.405607,71.078279,27.69207,25.369493,29.383509,39.930346,74.964642,81.454093,120.662823,36.420268,114.378551,82.315184,17.195706,41.468449,112.493953,3706.92853,207.630005,3.741,900.900024,9.858912,7.350417,20.064599,-44.548571,71.104952,1.49194E+37,33.142595,-1.167902,-0.327475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/30/25,00:08:55,0,1,0,74.772914,73.3762,63.578998,74.447463,73.414235,74.013685,73.62508,73.355108,32.222374,28.655205,28.501716,28.787494,39.051477,27.839627,27.909766,28.302084,37.528632,39.903595,41.130477,40.743375,42.143476,38.843656,38.018073,28.986067,38.010469,40.460645,51.069787,45.160593,50.428581,46.687471,52.582185,48.925479,49.243624,44.630444,46.294538,41.912436,40.526025,24.575365,24.822819,41.126905,40.43058,24.683783,24.874842,26.697553,47.104382,24.99696,39.240841,31.848757,37.383265,28.334894,36.998551,29.90497,37.146249,30.566063,36.913017,27.467405,37.862671,30.470127,36.954195,29.386709,36.827566,27.076579,37.442267,28.463619,37.496284,28.390971,32.991701,26.486226,33.613495,27.380933,35.423706,30.828576,38.942976,29.377662,40.878556,30.950245,40.125306,77.660885,29.332756,74.88932,27.386497,68.858776,74.520727,75.799334,27.421128,25.094495,29.356393,39.905314,78.763361,86.891913,121.99391,36.310838,115.116295,86.372302,9.416967,42.465726,130.810291,3631.270751,207.869995,4.061,997.200012,8.277031,6.330772,21.055725,-44.548571,80.596213,1.49194E+37,33.131118,2.935328,5.706893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/30/25,00:09:55,0,1,0,74.506109,73.150443,63.582265,74.487725,73.508711,74.052277,73.63285,73.383618,32.276714,28.693632,28.514713,28.825972,39.039234,27.837507,27.897944,28.227786,37.673214,39.90277,41.200057,40.760654,42.20599,38.921871,38.024043,28.970238,37.973126,40.42782,50.556027,44.453797,52.273249,47.334068,52.654257,48.944269,49.180237,44.829996,47.968979,41.934232,40.566794,24.568913,24.826536,41.076433,40.218483,24.645069,24.808841,26.549293,48.000284,26.227998,39.164099,31.90044,37.371101,28.311905,36.983284,29.912175,37.11846,30.569255,36.908602,27.652259,37.867225,30.493888,36.919829,29.387292,36.818359,27.093189,37.44014,28.496277,37.47302,28.367932,32.971862,26.488551,33.644232,27.389954,35.438334,30.873144,38.942011,29.353495,40.844579,30.96732,40.118397,79.433229,29.129699,75.165872,28.054729,69.011428,75.332153,76.72232,27.445829,26.637842,29.355828,39.85848,83.515282,88.57283,122.121182,36.424455,115.575615,86.862462,9.037425,41.41618,155.573674,3608.967482,207.380005,4.349,1097.199951,9.117411,8.042441,20.012288,-44.548571,92.122425,1.49194E+37,33.137217,12.689196,16.956553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/30/25,00:10:55,0,1,0,74.755118,73.385883,63.169524,74.455036,73.463289,74.035218,73.58406,73.367825,32.30414,28.742103,28.541325,28.833351,38.998441,27.821231,27.9188,28.293265,37.705316,39.959461,41.159858,40.810197,42.139867,38.810024,37.971793,28.964315,37.993526,40.433183,50.056616,44.0335,49.540417,48.113773,52.668302,48.498467,49.309349,44.165389,48.459873,41.875372,40.557156,24.675022,24.926718,41.148125,40.373379,24.770201,24.93306,26.126268,47.430411,26.286267,38.954739,31.831591,37.430182,28.40992,37.01851,29.901645,37.069097,30.526637,36.901722,27.577005,37.990035,30.529983,36.934418,29.392636,36.787504,27.081245,37.449538,28.481667,37.481522,28.399719,32.955517,26.465609,33.578785,27.348272,35.43878,30.886516,38.941147,29.346378,40.823468,30.916972,40.069938,77.481624,28.553632,73.681269,27.765047,68.265818,73.555652,75.050507,27.076516,27.159142,29.430626,39.846014,82.921026,86.817872,121.665417,36.415873,114.99821,85.479554,19.36805,41.037624,148.662612,3449.189336,207.75,4.292,1071.099976,8.921301,8.132716,19.632331,-44.548571,89.036539,1.49194E+37,33.132199,11.554915,15.35527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/30/25,00:11:55,0,1,0,74.801429,73.446234,63.222045,74.431878,73.534045,74.0518,73.591554,73.358815,32.285725,28.646005,28.50367,28.820515,38.977805,27.773566,27.898286,28.226342,37.683048,39.954883,41.150446,40.824825,42.151833,38.752312,37.949282,28.907234,38.012645,40.406882,50.873687,45.364574,50.780484,46.901191,52.014939,48.89719,49.115988,43.747576,47.440635,41.9415,40.540608,24.68058,24.932651,41.040425,40.33734,24.77565,24.958642,25.126864,46.928065,25.676934,38.822523,31.823738,37.415673,28.387242,37.000455,29.889541,37.092912,30.535039,36.915599,27.47269,37.92572,30.516797,36.961585,29.383902,36.797622,27.060195,37.440197,28.45662,37.478074,28.418104,32.964497,26.50373,33.57848,27.360916,35.420886,30.883228,38.986835,29.38364,40.843078,30.924037,40.085736,75.423745,28.232256,72.378443,27.557691,67.638651,72.243621,73.251751,26.833907,26.093496,29.407799,39.830067,81.107326,84.931745,121.136978,36.565887,115.054225,84.153559,18.598599,40.710752,140.817812,3483.504647,207.720001,4.157,1026.5,8.929574,8.255009,19.302682,-44.548571,85.415477,1.49194E+37,33.130226,9.991732,13.037034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/30/25,00:12:55,0,1,0,74.774859,73.428931,63.619502,74.466562,73.477791,74.042098,73.636583,73.384813,32.307803,28.648068,28.504394,28.826473,39.103699,27.818366,27.869938,28.251109,37.753587,39.975429,41.215841,40.771274,42.216151,38.851323,38.024159,28.947158,38.041462,40.474368,49.970661,44.517204,49.809573,47.950218,52.043827,48.85776,49.161692,46.722897,48.051198,41.817562,40.481195,24.657349,24.924592,41.250314,40.558481,24.716641,24.90501,24.702673,47.046832,25.682237,38.89456,31.86973,37.372402,28.290458,37.000067,29.90107,37.141939,30.575982,36.949767,27.543346,37.870964,30.500335,36.93817,29.358064,36.846532,27.059549,37.447515,28.454191,37.494125,28.377635,32.95041,26.466076,33.579249,27.328197,35.430752,30.853486,38.960325,29.389846,40.880897,30.982405,40.12538,74.638096,28.101076,72.256015,27.291077,67.707213,71.809952,72.608548,26.86204,26.136841,29.438605,39.909431,79.700848,84.057458,121.275004,36.826592,115.357973,83.869142,9.481739,40.8832,136.457202,3669.188024,207.449997,4.006,988.599976,8.624299,7.8143,19.476777,-44.548571,83.344402,1.49194E+37,33.131295,8.706306,11.088387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/30/25,00:13:55,0,1,0,74.526846,73.177563,63.416579,74.504802,73.539771,74.07486,73.592965,73.384774,32.278239,28.640729,28.498394,28.732035,39.116192,27.787706,27.906319,28.272308,37.901408,39.939095,41.154923,40.647699,42.112136,38.946776,38.147175,28.989313,38.17125,40.63899,50.566263,42.928857,49.804369,47.598462,51.387985,51.86104,50.526529,44.395152,46.968942,41.654299,40.429977,24.528779,24.823595,41.637074,40.812852,24.657908,24.844497,23.921364,46.509151,25.545214,38.974679,31.861078,37.41031,28.321138,36.975186,29.872336,37.101056,30.525417,36.928791,27.725315,37.969951,30.522199,36.939079,29.345155,36.790325,27.044342,37.442631,28.505038,37.478804,28.350566,32.941226,26.438104,33.621181,27.370798,35.423169,30.877948,38.918915,29.334612,40.832103,30.975003,40.122468,74.661502,28.165733,72.965052,28.132684,67.760108,71.955009,72.692157,26.56825,25.749005,29.371204,40.059199,78.589479,84.070058,121.43103,36.869126,115.038134,84.053727,17.253998,40.242718,128.392931,3548.600647,207.320007,3.986,976.5,9.337619,9.30457,18.828114,-44.548571,79.395786,1.49194E+37,33.132141,4.734284,6.430734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/30/25,00:14:55,0,1,0,74.513843,73.185281,63.375138,74.497739,73.573319,74.043266,73.561565,73.376642,32.279328,28.585602,28.403101,28.738877,39.156924,27.79366,27.829055,28.251741,38.002774,39.907562,41.126518,40.702003,42.126348,39.00693,38.194837,28.925039,38.185149,40.671779,50.760435,44.455552,48.663479,48.260107,51.85421,49.96599,50.080423,43.738231,46.985847,41.811568,40.44172,24.402863,24.721716,41.558929,40.866993,24.589883,24.784537,25.357202,47.097122,26.024286,39.196545,31.873959,37.40898,28.332291,36.988009,29.884184,37.088042,30.522552,36.923003,27.753849,37.960079,30.521599,36.954849,29.343662,36.786353,27.032739,37.463859,28.485414,37.479492,28.353937,32.971702,26.425939,33.614419,27.42071,35.449041,30.905747,38.946977,29.350041,40.823561,30.984139,40.118283,76.820848,29.443622,74.592531,27.784338,68.465999,73.745279,74.999703,27.061207,26.863331,29.323208,40.146607,79.605253,86.134141,121.972626,36.675476,115.526615,85.736668,10.620375,41.364155,131.768507,3560.539236,207.550003,4.048,997.900024,9.483437,7.824153,19.960185,-44.548571,81.067999,1.49194E+37,33.138914,4.247151,6.475468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/30/25,00:15:55,0,1,0,74.726636,73.375131,63.184771,74.451348,73.444786,74.023916,73.548839,73.316512,32.371005,28.534764,28.408483,28.739067,39.093588,27.803225,27.816269,28.187635,38.076571,39.947252,41.092661,40.712316,42.084342,38.955054,38.136253,28.920737,38.179526,40.666614,50.530483,44.194441,50.705213,46.541053,51.924149,50.186669,49.525707,44.177106,49.335367,41.912525,40.534041,24.352568,24.648373,41.324082,40.604918,24.543215,24.778595,24.921798,47.541067,25.452732,39.184686,31.812536,37.429633,28.383931,37.041845,29.869744,37.080352,30.508117,36.910226,27.515936,37.985063,30.525412,36.944037,29.34837,36.77681,27.034718,37.43178,28.440538,37.49591,28.382561,32.955762,26.421194,33.573722,27.342736,35.44046,30.864141,38.979029,29.360586,40.846735,30.914612,40.097566,79.359151,28.997438,75.912416,27.893994,68.994369,75.609476,77.098986,26.937027,26.233768,29.305205,40.109436,81.961513,88.66607,122.266694,36.686557,115.051403,87.128669,16.226764,40.718331,144.497374,3425.665176,207.410004,4.241,1061,9.687096,8.583652,19.310342,-44.548571,87.130201,1.49194E+37,33.123802,7.77105,11.217785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/30/25,00:16:55,0,1,0,74.851349,73.512313,63.446534,74.431994,73.469419,74.053184,73.649639,73.361477,32.355609,28.596514,28.432756,28.832082,39.160416,27.826211,27.875612,28.269724,38.211897,39.921865,41.075672,40.694921,42.126751,39.043953,38.144617,28.943906,38.259646,40.679125,49.921037,42.359264,48.566281,46.889796,52.026627,51.110862,49.043844,44.81378,47.635101,41.644329,40.457426,24.251864,24.550887,41.504945,40.789732,24.40571,24.688104,24.414594,47.862561,25.206551,39.15919,31.801934,37.422016,28.336078,37.039531,29.868653,37.137204,30.535552,36.919162,27.340541,37.893547,30.470075,36.947951,29.348303,36.858464,27.037652,37.443525,28.439899,37.485394,28.360342,32.942074,26.411959,33.595192,27.308053,35.416237,30.829978,38.97392,29.349624,40.879494,30.918872,40.104422,80.106274,29.52811,75.756625,27.860256,69.014542,75.938828,77.543646,26.932364,25.443626,29.297096,40.155617,83.746301,89.256331,122.090112,36.548135,114.547386,87.261855,7.809408,41.032766,156.07828,3571.050825,207.729996,4.399,1112.900024,9.900668,8.232814,19.627442,-44.548571,92.344117,1.49194E+37,33.113855,12.237843,16.587492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
